user_id,item_id,rating
2217,31574,4
464,9603,2
1838,30710,4
1611,109,5
1935,3757,3
456,5852,3
470,18646,3
2036,32638,3
2590,19555,3
1340,13344,4
683,14330,4
2416,33211,3
1259,31441,5
1997,7790,3
654,32985,4
495,11407,3
1514,32669,4
1054,29173,4
1698,17482,3
1490,31103,3
63,32646,3
1697,6874,4
893,5107,4
1858,4853,4
1366,33786,3
1783,25684,5
1313,13020,2
2568,6221,3
2345,29687,3
1554,33362,3
2698,25554,4
2676,9,3
2087,16611,4
1828,242,4
1860,19953,2
2410,15147,4
1806,30939,4
1676,31680,4
1801,28513,5
2445,26264,2
2494,33153,5
2617,4,3
2112,31927,4
507,6781,5
29,33242,3
470,14462,4
1176,33064,4
227,34162,2
132,5082,4
2297,32401,2
2225,90,5
444,25554,3
544,6182,2
2706,24515,4
491,2917,3
212,33951,3
2069,1031,4
1628,26604,3
2018,28183,4
2644,201,5
2223,32997,4
2163,31110,5
652,32638,2
1975,22667,4
1802,18041,4
1033,14930,5
456,15102,4
2687,31056,2
1881,32731,3
1990,7655,3
2008,32861,5
1026,8797,4
1583,23849,4
2183,6205,3
843,28978,5
2321,17224,3
2361,2567,4
1338,25830,3
1642,3740,4
2585,26867,5
1024,7729,4
1432,28744,5
2450,33178,2
1362,32885,2
2041,174,5
1859,17961,3
886,6777,3
1342,31814,5
2490,27,4
727,769,5
2498,32433,2
428,32586,2
1517,28202,2
91,33960,5
1844,4081,5
2109,15423,4
531,4002,5
1981,8486,3
2559,29601,5
1275,34207,4
2476,33503,5
411,29409,4
71,31936,3
1766,18505,5
2290,14445,4
2401,1013,4
489,20481,2
2215,4015,5
2109,27692,4
25,31213,3
2445,1262,3
2659,20026,5
1256,10248,4
1770,31693,5
2113,32488,5
2660,1182,4
1593,32978,3
2563,33766,4
2378,24536,3
979,1544,3
1739,28381,5
1666,580,4
160,33919,4
2612,11487,4
1930,11927,4
727,242,5
2149,34055,4
1034,13146,4
958,14467,3
1373,6559,5
1980,16308,3
430,4486,2
1421,32926,4
803,33680,4
743,2037,4
526,8695,3
916,8572,3
215,24633,5
1224,14775,4
546,3373,5
2456,32112,4
1807,5853,4
1375,33894,5
2355,34204,4
1333,4328,4
1995,31529,4
2695,29297,3
1236,1475,2
1510,25699,4
1494,20776,5
2706,31996,4
872,14921,4
1474,32481,3
1433,23520,3
2366,137,4
2653,18064,4
153,23505,5
2095,24649,4
2267,31529,4
1754,32917,1
1583,18641,3
411,30322,4
2602,29262,4
2114,59,4
615,32072,2
2196,3412,5
1228,28390,3
2626,22765,4
1298,33139,3
1755,34027,4
2497,20240,4
2004,7627,2
1549,31335,3
1244,31458,4
2618,8695,4
1338,1060,3
2650,20051,4
309,34476,4
972,33919,4
1581,27157,5
2358,39,5
263,20500,4
1843,33416,4
2099,30526,4
65,16796,4
2612,271,3
